Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,36.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,65.5,42.8,40.0,37.55,,30.89,34.0,37.63,34.0,29.0,,35.2,31.33,31.25,41.67,34.92,45.41,,31.7,41.47,42.75,66.0,37.7,21.0,43.22,30.0,42.22,38.5,34.0,27.75,32.57,42.0,48.38,40.8,36.75,30.4,33.0,37.18
2023-01-06,66.0,42.4,39.25,36.15,,32.11,34.0,33.86,35.0,30.0,41.0,35.0,32.5,31.17,40.67,33.95,44.58,46.69,32.03,42.17,,66.0,37.6,20.0,43.2,32.5,43.67,39.08,34.0,27.9,32.35,41.75,50.18,40.8,37.0,31.01,32.5,37.1
2023-01-07,66.0,43.5,40.0,36.54,,32.34,35.0,34.13,42.0,30.0,,37.71,33.0,31.17,40.0,33.94,44.4,46.71,32.42,42.32,,67.0,38.2,22.0,48.33,32.0,48.0,39.21,34.0,28.0,33.1,43.0,48.58,43.0,36.33,31.2,32.0,37.63
2023-01-08,66.0,41.0,40.0,36.58,,32.53,35.0,35.67,42.0,31.0,41.5,37.43,32.75,31.33,41.0,34.56,44.84,46.92,32.47,42.53,,67.0,37.6,23.0,43.89,35.0,47.25,39.0,34.0,28.6,32.83,43.0,51.17,42.6,36.0,31.37,32.75,37.43
2023-01-09,66.0,44.2,38.33,36.44,,32.89,35.0,37.14,44.67,31.0,42.0,38.0,32.75,32.25,41.67,34.89,45.44,47.67,33.34,42.79,,67.0,37.33,26.0,45.2,30.0,47.88,40.04,,28.91,32.58,43.0,52.58,42.9,38.33,31.92,32.5,37.83
2023-01-10,,44.67,40.0,36.25,,32.5,35.0,39.71,44.33,31.0,,39.33,33.0,32.42,41.33,35.07,46.33,,33.97,42.37,,64.0,34.67,27.0,45.0,32.0,,39.91,33.0,28.89,31.33,36.0,53.74,46.5,37.0,32.34,31.0,37.69
2023-01-11,68.0,45.5,40.0,36.79,,33.61,36.0,38.13,45.67,33.0,42.5,38.0,33.25,33.08,39.5,35.11,46.78,46.86,34.02,43.58,,70.0,37.6,27.0,45.9,35.0,48.2,40.3,38.0,30.38,32.29,43.0,53.26,43.9,37.75,32.69,32.75,37.96
2023-01-12,68.0,45.6,40.0,37.57,,34.33,36.0,39.11,44.33,33.0,42.5,38.0,34.25,33.25,39.4,35.37,46.55,47.92,34.41,43.68,,70.0,38.75,27.0,46.0,35.0,48.13,41.74,,31.2,32.52,42.0,52.94,44.11,40.33,32.95,34.25,38.24
2023-02-05,65.5,42.6,40.67,37.12,,31.81,34.0,35.88,35.5,29.0,41.0,34.83,31.25,31.0,44.0,34.11,45.13,47.93,32.29,41.47,42.86,66.0,37.44,21.0,43.1,35.0,43.63,38.58,34.0,28.29,32.92,41.8,49.33,40.8,35.67,30.36,33.25,36.83
2023-02-06,66.33,42.4,40.67,36.36,,32.24,34.0,33.88,35.0,31.0,41.0,36.0,32.5,31.17,40.0,33.89,44.66,45.77,31.93,42.05,,67.0,37.4,20.0,43.0,35.0,43.83,39.26,34.0,27.63,32.74,41.8,50.2,39.78,37.67,31.0,32.0,36.95
2023-02-07,67.0,44.0,40.0,36.79,,32.1,35.0,35.83,42.0,30.0,,37.17,33.0,31.17,57.0,34.2,44.97,,32.23,42.37,,67.0,38.6,25.0,48.33,32.0,,39.27,,27.75,32.33,40.5,51.31,47.67,36.0,31.3,,38.0
2023-02-08,66.0,40.33,39.0,36.62,,32.35,35.0,35.5,41.67,31.0,41.5,38.6,32.75,31.27,40.25,34.72,44.29,46.86,32.63,42.58,,67.0,37.6,24.0,43.7,35.0,47.44,39.13,34.0,28.5,32.88,43.0,50.92,43.0,36.0,31.43,32.75,37.38
2023-02-09,66.0,44.2,40.0,36.16,,32.92,35.0,37.4,44.67,31.0,,38.0,32.75,32.25,41.67,34.74,45.47,47.46,33.08,42.68,,67.0,38.0,26.0,52.5,30.0,47.88,39.76,,30.0,31.0,43.0,52.96,43.1,38.33,31.86,32.5,38.21
2023-02-10,67.0,44.8,40.0,36.52,,32.96,35.0,37.67,44.33,31.0,,36.83,33.0,32.42,46.5,35.06,46.29,,33.49,42.37,,67.0,37.25,27.0,46.5,30.0,48.44,40.3,33.0,29.38,32.0,44.0,53.09,48.0,38.5,32.12,31.0,37.67
2023-02-11,68.0,45.6,38.75,36.68,,33.76,36.0,37.0,45.67,33.0,42.5,38.57,33.0,33.17,42.67,34.83,46.9,47.14,34.04,44.12,,70.0,37.6,27.0,46.11,35.0,48.13,40.05,38.0,30.62,32.68,43.0,53.67,43.67,37.75,32.68,32.75,37.43
2023-02-12,67.67,46.0,38.33,37.0,,34.21,36.0,40.14,44.0,33.0,,38.0,34.25,33.25,40.5,35.37,47.0,48.25,34.32,43.68,,69.0,38.0,27.0,52.5,35.0,49.0,40.41,39.0,31.5,32.0,43.0,53.27,44.11,39.25,32.99,34.0,38.0
2023-03-05,65.5,42.75,37.5,37.0,,31.65,34.0,39.0,35.5,29.0,41.0,36.0,33.0,31.08,39.5,33.95,44.66,46.75,31.97,41.63,43.29,66.0,38.0,25.0,43.1,30.0,42.78,39.0,34.0,28.67,32.59,42.0,50.0,40.8,37.33,30.36,33.0,36.83
2023-03-06,66.33,42.4,38.33,36.59,,32.11,34.0,37.14,42.0,31.0,,35.57,32.75,31.17,40.0,33.89,44.84,47.21,32.03,42.05,,67.0,37.75,25.0,46.67,30.0,44.08,39.22,,28.83,32.8,42.2,50.25,41.2,37.67,30.97,32.5,37.65
2023-03-07,66.0,42.8,38.25,36.5,,32.42,35.0,34.13,35.0,30.0,41.0,37.71,32.5,31.17,40.0,34.26,44.69,47.15,32.46,42.37,,67.0,38.0,22.0,43.2,32.0,48.0,39.25,34.0,28.25,32.28,43.0,49.84,42.6,36.0,31.24,32.0,37.41
2023-03-08,66.0,41.75,39.33,36.58,,32.61,35.0,35.78,41.67,31.0,41.5,38.17,33.0,31.42,40.25,34.58,45.0,46.86,32.51,42.58,,67.0,37.5,24.0,44.0,35.0,48.27,39.33,34.0,28.5,32.87,43.0,50.48,43.0,36.0,31.51,32.25,37.48
2023-03-09,67.0,44.2,,35.88,,32.32,35.0,37.86,44.67,31.0,,39.67,33.0,32.25,57.0,34.0,45.61,,33.49,42.68,,67.0,35.67,26.0,45.0,32.0,,39.92,33.0,29.73,31.78,36.0,53.0,47.0,,31.92,32.0,38.14
2023-03-10,67.67,45.2,37.5,36.81,,33.31,35.0,38.38,44.33,31.0,42.0,36.5,32.75,32.42,41.33,35.16,45.97,48.3,33.52,42.37,,70.0,37.8,27.0,44.7,35.0,48.44,40.16,33.0,29.67,32.41,43.0,52.33,43.1,38.5,32.2,32.5,37.77
2023-03-11,68.0,46.0,38.0,36.33,,33.72,36.0,37.44,45.67,33.0,42.5,38.0,33.0,33.25,41.67,34.89,46.78,47.54,34.24,43.53,,70.0,37.6,27.0,45.55,35.0,48.13,40.23,38.0,30.31,32.71,43.0,53.73,44.5,38.33,32.67,32.75,38.04
2023-03-12,,45.33,37.5,36.18,,34.15,36.0,42.5,44.0,33.0,,41.0,34.25,33.25,58.0,35.15,46.66,,34.17,43.68,,64.0,36.0,28.0,52.5,32.0,,41.22,,31.08,32.75,40.5,53.35,49.33,,33.12,31.0,37.73
2023-04-05,65.5,42.6,37.5,37.04,,31.74,35.0,37.44,35.5,29.0,41.0,35.29,32.75,31.08,39.5,33.95,44.9,47.38,31.71,41.58,47.0,66.0,37.7,21.0,43.1,30.0,43.75,38.58,34.0,28.29,32.37,42.0,50.44,41.1,36.0,30.13,32.67,37.09
