Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,82.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,87.5,70.4,90.0,74.18,,68.11,73.0,73.88,76.33,72.0,,72.8,64.33,70.42,82.67,75.0,79.28,,71.53,71.58,82.33,120.0,77.5,58.0,94.71,70.0,100.57,69.57,76.0,81.0,67.36,80.0,73.0,68.9,75.0,70.85,84.25,76.53
2023-01-06,86.5,71.0,84.5,74.62,,68.22,73.0,71.0,77.33,72.0,75.5,77.67,65.0,70.83,86.67,71.68,80.81,93.86,70.67,72.17,,131.0,79.5,58.0,97.13,70.0,101.8,70.28,85.0,74.1,70.35,80.5,75.27,68.8,73.5,71.47,80.75,75.9
2023-01-07,85.0,72.5,90.0,74.89,,68.17,73.0,70.63,77.0,73.0,,77.43,68.0,70.08,83.5,72.82,84.3,94.36,70.55,71.84,,133.0,78.25,60.0,99.0,70.0,95.42,70.04,74.0,75.71,72.5,81.0,74.67,70.63,73.5,71.73,81.0,75.37
2023-01-08,84.33,70.75,90.0,74.85,,69.17,74.0,74.33,75.67,72.0,77.5,77.86,67.0,70.08,85.0,71.67,85.34,95.08,72.84,72.74,,133.0,77.5,56.0,94.29,70.0,98.33,69.38,74.0,74.1,70.93,81.0,75.48,69.4,76.0,71.6,83.5,74.83
2023-01-09,84.67,73.8,86.67,77.52,,73.46,74.0,76.71,82.0,82.0,83.5,74.4,67.75,76.83,87.67,75.11,87.63,95.83,76.68,77.89,,132.0,78.6,54.0,99.22,80.0,96.67,76.32,,78.82,71.69,81.0,82.68,70.9,81.0,74.43,84.5,77.65
2023-01-10,,88.33,90.0,78.38,,78.46,74.0,81.86,90.67,88.0,,78.67,70.75,82.67,90.0,80.79,89.93,,78.05,82.84,,133.0,78.33,58.0,98.0,80.0,,80.67,73.0,83.11,74.0,80.0,87.35,76.0,88.0,77.48,87.5,75.54
2023-01-11,91.33,86.5,99.5,81.5,,77.56,80.0,84.13,90.0,88.0,95.0,80.17,76.25,84.67,90.5,81.74,91.78,101.5,80.53,84.68,,133.0,83.33,60.0,103.78,80.0,96.67,80.13,83.0,84.62,72.21,83.0,87.42,74.6,84.67,78.29,89.0,81.0
2023-01-12,91.33,82.0,94.5,82.67,,77.94,80.0,86.67,90.0,88.0,96.0,78.5,77.0,84.33,92.0,81.74,93.57,102.7,82.02,84.79,,133.0,88.0,58.0,104.22,80.0,95.83,79.7,,85.2,73.4,82.0,88.17,75.2,83.0,79.38,88.25,81.71
2023-02-05,87.5,70.4,85.67,73.85,,68.65,73.0,71.25,77.33,72.0,75.5,72.5,66.5,70.5,85.5,72.53,79.33,93.71,71.29,71.79,78.4,120.0,77.0,58.0,97.25,70.0,96.67,69.28,76.0,76.71,67.17,80.0,74.61,68.9,75.0,70.77,84.75,75.61
2023-02-06,84.33,71.0,86.0,74.57,,68.24,73.0,70.75,77.33,72.0,75.5,78.29,65.0,71.0,84.25,71.78,80.13,95.14,70.35,71.68,,131.0,79.5,58.0,97.13,70.0,104.42,69.93,85.0,71.88,70.93,80.4,75.55,68.11,73.5,71.47,81.33,73.82
