Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,191.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,224.5,180.0,,203.0,,196.53,190.0,191.57,195.67,220.0,,193.2,195.0,200.5,253.0,194.89,181.62,,187.56,186.72,191.5,270.0,143.0,127.0,174.67,190.0,210.0,181.4,206.0,203.25,179.71,218.5,170.6,189.81,166.5,204.78
2023-01-06,224.5,178.4,,194.25,,194.47,190.0,190.29,201.67,220.0,209.0,186.83,191.25,210.5,253.0,185.31,182.35,228.67,187.76,185.78,,260.0,143.0,127.0,174.67,185.0,195.0,176.57,206.0,195.7,185.8,212.95,169.9,190.52,164.5,200.44
2023-01-07,236.5,173.75,,200.17,,188.63,190.0,183.63,199.0,216.0,,187.14,190.33,215.33,250.0,188.18,181.47,225.14,189.51,184.47,,275.0,,125.0,150.0,190.0,195.0,182.8,205.0,196.86,185.7,208.75,167.0,191.49,161.5,204.1
2023-01-08,236.5,175.5,,199.5,,189.63,190.0,190.89,201.33,216.0,216.0,193.57,193.0,217.75,250.0,185.92,179.72,225.43,189.25,189.05,,270.0,143.0,128.0,176.0,190.0,200.0,177.0,205.0,196.56,185.18,209.39,166.8,192.75,163.0,203.9
2023-01-09,237.5,177.8,,199.4,,186.44,190.0,187.33,210.67,218.0,216.0,191.0,188.5,219.5,243.0,185.77,179.69,229.83,191.61,190.68,,270.0,139.0,115.0,179.67,200.0,200.0,166.25,,194.6,182.72,212.71,167.8,191.95,163.0,201.27
2023-01-10,,174.67,,234.5,,194.27,190.0,208.0,209.67,214.0,,189.67,186.5,219.0,243.0,188.78,178.63,,194.08,190.68,,288.0,,130.0,,200.0,,161.0,207.0,193.0,170.17,213.7,166.5,190.98,170.5,194.78
2023-01-11,226.5,172.75,160.0,208.17,,192.44,192.0,192.75,209.0,214.0,223.5,196.67,182.25,218.5,240.0,181.23,180.59,231.29,192.96,188.42,,259.0,139.0,125.0,174.0,200.0,200.0,174.5,207.0,198.75,182.59,212.55,168.0,191.44,161.25,199.55
2023-01-12,203.0,174.4,,212.25,,175.46,192.0,197.22,205.67,214.0,226.0,189.4,181.5,222.0,240.0,185.15,179.63,226.2,194.23,188.53,,263.0,139.0,122.0,174.0,190.0,,171.25,,204.69,187.55,211.06,167.89,192.48,160.33,199.1
2023-02-05,224.5,180.0,,201.83,,195.53,190.0,190.5,199.0,220.0,205.0,192.5,194.0,200.75,253.0,185.54,183.47,225.0,188.03,185.74,189.5,270.0,143.0,130.0,174.67,190.0,195.0,175.17,206.0,203.83,182.42,216.0,170.6,189.89,166.5,201.09
