Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,51.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,79.0,57.2,,56.32,,44.25,50.0,47.71,52.33,49.0,,51.2,42.33,42.18,46.33,43.7,48.83,,42.24,49.74,90.0,147.0,75.0,33.0,99.14,45.0,80.0,46.67,45.0,47.75,42.79,56.4,52.13,53.9,59.0,44.03,47.0,50.41
2023-01-06,78.0,57.2,70.0,56.04,,45.06,50.0,45.43,52.33,53.0,55.0,49.33,43.75,45.08,49.0,45.18,49.29,61.29,43.84,50.72,,150.0,75.0,34.0,99.57,45.0,79.0,47.68,46.0,45.8,42.29,59.0,52.9,54.3,61.0,45.2,48.75,50.9
2023-01-07,74.0,57.5,,56.25,,45.94,50.0,47.13,70.0,55.0,,50.0,44.33,45.18,48.25,45.13,50.77,61.36,45.44,51.47,,150.0,78.25,34.0,125.0,45.0,79.38,48.2,49.0,47.83,44.89,56.4,53.75,54.5,69.33,46.18,48.25,52.39
2023-01-08,75.33,57.5,,56.69,,47.47,51.0,48.0,66.67,58.0,55.0,50.43,44.33,45.92,49.0,47.56,51.5,61.85,46.64,51.89,,143.0,75.5,34.0,98.29,50.0,80.0,49.04,49.0,52.3,42.9,56.4,53.22,54.4,68.25,46.95,50.25,51.0
2023-01-09,76.67,58.2,70.0,57.62,,48.7,51.0,50.71,68.33,60.0,56.5,50.6,45.25,46.33,49.0,47.61,51.63,63.75,47.45,52.37,,150.0,79.33,34.0,116.63,50.0,73.13,49.93,,50.0,43.2,56.8,53.77,55.2,70.0,47.77,51.25,52.09
2023-01-10,,61.0,,57.25,,48.17,51.0,48.29,69.0,58.0,,48.33,45.75,47.5,48.5,49.08,51.47,,48.22,52.68,,100.0,76.67,35.0,100.0,50.0,,50.83,50.0,53.11,42.33,66.0,55.22,54.5,70.0,49.07,51.5,51.38
2023-01-11,77.33,60.5,,58.15,,48.39,51.0,50.86,69.67,57.0,59.0,52.5,45.67,48.67,50.0,48.83,51.94,61.36,48.22,52.63,,167.0,81.17,34.0,114.63,50.0,81.25,50.33,50.0,51.77,42.81,57.2,54.23,55.6,70.5,48.77,52.0,52.39
2023-01-12,72.0,59.4,,57.89,,47.97,52.0,49.63,69.67,57.0,59.0,50.4,47.33,46.75,48.5,48.17,51.07,61.92,48.02,53.26,,167.0,81.8,34.0,115.88,50.0,78.13,51.0,51.0,49.36,44.59,58.0,54.94,54.89,74.33,48.49,51.75,53.3
2023-02-05,77.5,57.2,82.5,55.4,,44.76,50.0,45.75,52.33,50.0,55.0,49.67,44.33,42.67,46.5,43.25,48.67,59.07,41.82,49.68,84.33,147.0,74.0,33.0,99.14,45.0,78.0,46.84,45.0,46.71,42.5,56.4,51.78,53.9,50.33,44.11,47.75,50.3
2023-02-06,75.0,57.2,70.0,55.96,,45.38,50.0,44.88,52.33,53.0,55.0,50.17,43.75,45.08,48.25,45.31,49.28,61.14,44.1,50.58,,150.0,75.0,34.0,99.57,45.0,79.17,47.5,,47.86,42.35,56.4,53.17,54.22,66.0,45.15,49.0,51.3
2023-02-07,69.0,57.33,,57.95,,46.21,50.0,47.67,70.0,55.0,,50.33,44.33,45.17,49.0,45.54,51.0,,45.54,51.47,,150.0,71.0,34.0,125.0,45.0,,48.42,,49.75,44.43,58.0,53.25,54.0,70.0,46.43,,53.23
2023-02-08,75.33,58.67,70.0,56.65,,47.68,51.0,47.25,66.67,58.0,55.0,51.6,45.25,46.09,48.25,47.41,51.86,61.77,46.9,51.79,,143.0,75.5,34.0,98.29,50.0,77.5,49.08,49.0,52.5,43.08,56.4,53.29,54.5,68.25,46.92,50.25,51.1
2023-02-09,76.67,58.4,,56.32,,48.78,51.0,48.0,68.33,60.0,,50.0,45.25,46.42,49.0,47.78,51.69,62.54,47.17,52.21,,143.0,77.8,35.0,121.5,50.0,73.13,49.56,,50.92,40.38,57.0,53.81,54.9,70.0,47.74,51.25,50.61
2023-02-10,74.0,58.8,,56.81,,47.79,51.0,49.5,69.0,58.0,,50.33,45.75,47.5,49.0,50.0,51.84,,48.11,52.68,,143.0,77.6,35.0,110.75,50.0,78.33,50.55,50.0,52.08,43.43,53.0,54.86,54.0,70.25,48.45,51.5,51.0
2023-02-11,77.33,59.2,70.0,57.89,,48.33,51.0,50.33,69.67,57.0,59.0,52.0,48.0,48.67,49.33,48.88,51.94,61.08,48.19,54.06,,167.0,81.17,34.0,114.63,50.0,78.89,50.25,50.0,50.08,43.0,57.2,54.23,54.78,70.5,48.75,52.0,52.1
2023-02-12,77.33,59.4,70.0,57.4,,48.45,51.0,51.29,69.67,57.0,,51.0,46.5,46.5,49.6,47.29,51.58,62.0,48.07,53.26,,167.0,79.0,34.0,133.5,50.0,78.13,50.17,51.0,49.21,44.86,57.2,54.82,54.7,70.0,48.44,52.0,50.89
2023-03-05,79.5,58.0,70.0,55.36,,44.68,50.0,47.33,52.33,50.0,55.0,49.0,42.67,42.75,46.75,43.29,48.34,59.83,42.91,49.63,83.25,147.0,75.0,33.0,99.14,45.0,80.0,46.64,45.0,48.5,42.76,56.4,51.84,54.4,61.0,44.15,47.5,50.65
2023-03-06,75.0,57.2,70.0,56.52,,45.56,50.0,46.0,70.0,53.0,,49.43,43.33,45.08,48.25,45.69,49.35,60.71,43.86,50.63,,150.0,75.0,34.0,125.0,45.0,79.17,47.54,,47.2,43.8,56.4,52.13,54.9,66.0,45.51,48.5,50.65
2023-03-07,74.67,56.8,70.0,56.36,,46.58,50.0,47.0,51.0,57.0,55.0,50.0,44.5,45.17,48.25,45.71,50.75,61.62,45.59,51.63,,150.0,75.5,34.0,99.29,45.0,80.0,48.2,49.0,50.25,42.17,56.4,53.74,54.6,66.5,46.31,48.25,52.81
2023-03-08,75.33,57.5,70.0,56.73,,47.49,51.0,48.11,66.67,58.0,55.0,50.17,45.5,45.92,48.25,47.47,51.68,61.57,46.72,51.84,,143.0,76.67,34.0,101.33,50.0,80.0,49.68,49.0,52.2,43.1,56.8,53.52,54.8,68.25,46.93,50.25,51.14
2023-03-09,75.0,58.0,,56.81,,47.76,51.0,49.57,68.33,60.0,,48.67,45.5,46.73,49.0,48.09,52.03,,47.11,52.21,,100.0,76.67,35.0,100.0,50.0,,50.21,49.0,51.0,42.67,66.0,54.35,54.0,,48.0,51.5,52.0
2023-03-10,77.33,59.2,68.0,57.0,,48.86,51.0,47.38,69.0,58.0,56.5,50.33,46.5,47.75,50.0,49.35,51.69,62.64,48.36,52.79,,143.0,79.33,35.0,112.88,50.0,78.33,50.27,50.0,51.13,42.54,57.0,54.13,55.2,70.25,48.65,51.25,52.0
2023-03-11,77.33,59.2,68.0,57.56,,47.94,51.0,50.56,69.67,57.0,59.0,51.33,48.0,47.92,49.0,48.35,51.63,60.62,48.13,53.21,,167.0,81.17,34.0,114.63,50.0,78.33,50.43,50.0,51.77,42.93,57.2,54.13,55.4,75.0,48.75,52.0,52.52
2023-03-12,,61.0,70.0,58.29,,47.7,51.0,56.5,69.67,57.0,,50.75,47.33,46.5,49.0,48.0,51.33,,47.7,53.53,,167.0,75.0,34.0,133.5,50.0,,51.13,,50.0,44.0,58.0,54.77,54.67,,48.61,,51.33
2023-04-05,77.5,57.2,70.0,55.8,,44.97,,46.56,52.33,50.0,55.0,48.86,43.25,43.0,46.75,43.12,48.68,59.36,42.58,49.63,,147.0,75.0,34.0,99.14,45.0,73.33,46.75,45.0,46.14,42.57,56.4,52.0,54.3,59.0,43.56,47.33,50.68
2023-04-06,69.0,58.0,70.0,57.05,,45.33,50.0,45.83,,53.0,,47.25,43.67,45.08,48.5,45.36,49.31,,43.91,50.63,,150.0,70.0,34.0,125.0,45.0,,49.92,46.0,47.8,44.43,58.0,52.69,54.33,60.0,45.58,51.0,52.5
2023-04-07,74.67,56.8,70.0,56.52,,46.62,50.0,48.25,52.5,57.0,55.0,50.33,44.5,45.17,48.25,45.71,50.78,61.54,46.05,51.63,,150.0,75.5,34.0,99.29,45.0,80.63,47.93,49.0,49.86,42.0,56.4,53.83,53.9,71.67,46.49,48.25,52.52
2023-04-08,76.33,57.5,70.0,57.52,,47.46,51.0,48.11,67.33,60.0,55.0,50.43,45.25,46.18,48.25,47.31,52.21,62.0,47.33,51.89,,143.0,76.67,34.0,107.17,50.0,79.44,49.48,,52.4,43.29,56.6,53.25,54.5,69.33,46.84,50.25,51.38
2023-04-09,76.67,58.0,70.0,57.16,,48.5,51.0,48.13,68.33,60.0,58.5,50.75,45.25,46.58,49.0,47.83,52.0,63.67,47.53,52.21,,150.0,79.33,34.0,116.63,50.0,76.11,49.76,49.0,50.71,43.33,57.0,54.1,55.0,66.0,47.69,51.25,51.91
2023-04-10,77.67,59.2,68.0,57.7,,48.91,51.0,48.78,69.0,58.0,56.5,50.71,45.33,47.75,50.67,48.78,51.94,62.31,48.02,52.74,,147.0,79.33,35.0,113.38,50.0,78.33,50.36,50.0,51.93,44.14,57.0,54.47,55.78,70.25,48.79,51.25,51.52
2023-04-11,77.33,60.5,,57.8,,48.46,51.0,51.71,69.67,57.0,,50.86,47.0,47.92,48.6,48.39,51.66,61.0,48.24,53.37,,167.0,80.0,34.0,133.5,50.0,78.33,50.54,50.0,51.75,44.42,59.0,55.08,55.5,70.5,48.52,52.0,51.06
2023-04-12,77.67,59.4,70.0,57.6,,47.94,51.0,48.86,69.67,57.0,,51.0,46.5,46.58,50.2,48.06,51.63,63.08,47.96,53.74,,167.0,82.5,34.0,115.88,50.0,78.33,50.1,51.0,49.93,43.5,57.2,54.51,54.8,70.0,48.16,52.0,51.65
2023-04-13,75.0,57.0,82.5,55.16,,43.84,52.0,47.44,52.33,48.0,55.0,47.25,43.25,41.58,46.0,43.14,48.65,59.5,41.29,49.11,83.25,140.0,75.0,33.0,99.57,42.0,79.0,46.54,45.0,46.75,42.32,56.4,52.33,53.9,63.33,43.35,47.0,49.57
2023-04-14,,57.75,95.0,54.16,,44.14,52.0,49.33,70.0,48.0,,49.4,43.25,41.36,,43.33,48.77,,41.73,49.11,90.0,100.0,75.0,33.0,90.0,40.0,78.0,47.73,45.0,46.4,42.0,55.0,52.69,53.75,61.67,43.32,48.5,50.25
2023-04-15,75.0,56.75,,53.81,,44.22,52.0,49.43,,48.0,,47.75,42.33,41.36,46.5,43.0,48.61,,40.93,49.21,90.0,100.0,80.0,34.0,,42.0,80.67,45.95,45.0,50.4,42.22,55.5,52.54,53.9,52.0,43.45,47.0,50.33
