Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,116.5,101.6,90.0,92.86,,81.18,92.0,88.63,103.0,90.0,,92.0,86.67,90.33,100.0,83.75,100.55,,88.45,95.63,107.5,134.0,93.5,68.0,105.6,90.0,101.44,78.24,89.0,101.25,89.21,105.6,99.0,91.1,108.75,92.41,101.5,107.65
2023-01-06,111.5,101.8,101.75,91.65,,78.14,92.0,89.14,103.0,90.0,95.0,97.33,90.75,89.08,99.0,81.84,99.45,107.71,87.38,96.28,,135.0,92.9,56.0,104.6,90.0,101.0,78.83,95.0,93.8,89.94,99.75,92.14,90.6,109.75,92.4,100.75,106.14
2023-01-07,99.67,101.75,100.0,91.43,,77.63,92.0,85.38,102.0,87.0,,97.86,93.67,87.17,99.75,81.13,101.4,109.86,87.88,95.53,,133.0,92.2,63.0,101.0,90.0,97.38,78.44,89.0,93.14,92.7,105.4,92.25,90.0,107.67,92.72,100.0,105.79
2023-01-08,99.67,101.5,100.0,90.0,,78.11,93.0,87.67,95.67,87.0,96.5,97.29,93.5,86.58,100.0,78.61,103.91,109.0,90.02,95.89,,147.0,90.7,65.0,104.1,90.0,97.06,77.54,89.0,94.9,89.37,104.0,89.43,89.9,108.5,91.35,100.75,105.7
2023-01-09,99.33,99.8,103.0,91.33,,80.05,93.0,87.29,97.0,91.0,97.5,91.0,93.75,86.92,101.0,80.95,105.31,110.92,90.75,98.05,,144.0,90.89,66.0,104.82,90.0,96.94,79.64,,91.55,88.73,104.0,91.7,90.6,100.67,92.33,101.5,105.96
2023-01-10,,98.33,110.0,91.63,,80.67,93.0,86.71,101.33,90.0,,97.33,95.5,90.5,105.33,83.14,107.57,,90.14,97.42,,148.0,91.67,70.0,105.0,85.0,,81.42,89.0,98.22,90.33,110.0,95.95,89.5,108.0,93.03,92.5,106.92
2023-01-11,98.0,99.25,105.0,92.39,,81.25,94.0,93.13,98.0,90.0,96.5,96.5,93.5,90.83,104.5,83.74,107.5,111.93,89.66,98.53,,152.0,90.9,70.0,100.7,100.0,95.53,81.29,86.0,99.31,89.39,104.0,94.37,89.8,106.25,93.76,96.5,108.39
2023-01-12,97.0,100.6,105.0,92.0,,81.09,94.0,93.44,96.67,90.0,97.5,91.83,97.0,90.33,102.5,83.68,107.1,114.64,90.52,97.42,,153.0,92.13,70.0,101.73,100.0,97.38,80.5,,100.8,89.56,103.0,94.71,90.2,108.33,94.92,94.25,107.85
2023-02-05,116.5,101.6,102.67,93.31,,81.68,92.0,88.0,103.33,90.0,97.5,92.5,92.0,90.33,100.0,82.05,100.73,109.36,88.06,95.63,96.43,135.0,93.11,66.0,105.6,90.0,101.88,79.4,89.0,99.14,89.08,105.2,94.67,91.1,108.33,92.35,102.25,106.48
2023-02-06,105.67,101.8,102.33,92.14,,77.92,92.0,87.13,103.0,90.0,95.0,98.86,90.75,88.75,99.25,81.5,99.84,109.14,87.3,96.21,,135.0,92.7,56.0,104.6,100.0,100.08,78.61,95.0,94.75,91.04,103.8,92.25,90.11,107.0,92.39,104.33,105.36
