Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,57.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,69.5,58.2,72.0,68.95,,53.68,57.0,55.43,56.0,53.0,,56.8,56.0,52.82,53.0,55.56,46.38,,56.67,56.32,67.0,80.0,71.3,40.0,74.6,55.0,70.2,51.48,45.0,58.5,52.92,61.6,42.25,62.3,69.75,60.82,60.75,55.76
2023-01-06,69.5,58.2,71.0,69.12,,54.17,58.0,56.0,56.0,53.0,57.5,57.67,58.75,52.67,47.67,56.67,45.68,53.79,56.92,56.67,,85.0,71.9,35.0,74.18,55.0,69.5,51.88,45.0,58.0,51.38,61.5,44.29,62.3,69.75,61.28,62.0,55.1
2023-01-07,69.0,57.75,72.0,68.89,,54.71,57.0,58.75,60.0,53.0,,56.71,59.67,52.27,51.75,57.69,46.55,53.93,57.46,56.79,,80.0,71.2,40.0,76.67,55.0,67.29,51.96,45.0,58.17,52.33,62.8,44.25,62.13,69.0,61.47,62.0,55.17
2023-01-08,70.67,55.75,72.0,69.12,,54.89,58.0,58.0,64.0,53.0,57.5,57.57,56.33,53.08,47.67,57.47,48.81,54.08,57.87,57.05,,80.0,72.6,40.0,74.1,60.0,69.93,51.88,45.0,57.1,51.52,63.4,45.22,63.3,69.75,62.16,62.5,54.19
2023-01-09,70.67,58.2,70.0,69.92,,55.62,58.0,60.0,64.0,53.0,57.5,58.0,58.75,53.08,47.67,57.0,50.03,53.25,57.59,57.84,,85.0,72.56,40.0,76.82,60.0,71.08,51.81,,59.0,51.88,63.4,45.87,63.4,70.0,62.16,62.75,54.55
2023-01-10,,61.67,,70.88,,55.58,58.0,60.29,64.0,53.0,,57.0,59.0,53.25,48.33,57.17,50.13,,57.8,58.11,,76.0,73.33,40.0,75.0,60.0,,53.0,46.0,58.67,55.0,60.0,45.7,57.0,70.0,62.15,65.5,54.15
2023-01-11,72.67,58.25,72.5,70.26,,55.58,59.0,59.29,64.33,53.0,57.5,60.17,59.67,53.25,48.75,58.18,49.81,53.93,57.54,58.74,,80.0,72.2,40.0,78.1,60.0,71.46,52.0,46.0,58.92,52.65,63.4,46.48,62.7,70.25,62.41,62.5,54.78
2023-01-12,72.0,59.8,72.0,71.0,,55.31,60.0,57.13,64.33,53.0,57.0,58.6,60.67,53.5,52.83,58.65,49.73,54.08,57.6,59.0,,85.0,71.89,40.0,78.55,60.0,71.08,52.25,47.0,59.29,51.6,62.5,46.71,63.0,69.67,63.2,63.0,54.65
2023-02-05,69.5,58.2,64.0,68.96,,53.56,58.0,58.25,56.0,53.0,57.5,56.33,59.33,52.25,47.5,56.14,46.47,53.93,56.27,56.21,67.75,80.0,71.22,40.0,74.18,52.0,69.14,51.67,45.0,57.14,53.09,61.6,43.22,62.3,70.33,60.85,61.5,54.45
2023-02-06,70.67,58.2,72.5,68.93,,54.19,57.0,58.25,56.0,53.0,57.5,56.33,58.75,52.67,51.75,56.43,45.88,53.79,56.7,56.42,,85.0,72.0,35.0,74.0,55.0,69.44,51.89,,56.43,51.75,62.2,44.47,62.89,69.0,61.21,60.0,55.3
2023-02-07,73.0,61.67,,69.63,,55.55,57.0,61.67,60.0,53.0,,57.67,59.67,52.92,45.0,56.91,46.79,,57.37,56.74,,80.0,71.2,40.0,76.67,55.0,,52.5,,59.0,52.86,62.5,43.88,57.0,70.0,61.62,,56.38
2023-02-08,70.67,54.33,74.0,69.46,,54.94,58.0,57.5,64.0,53.0,57.5,58.4,58.75,53.82,51.75,57.44,49.32,54.08,57.81,57.05,,80.0,72.6,40.0,73.1,60.0,71.08,52.08,46.0,57.1,51.48,63.4,45.17,63.3,69.75,62.11,62.5,54.2
2023-02-09,70.67,58.2,72.0,69.64,,55.14,58.0,63.0,64.0,53.0,,58.0,58.75,53.25,47.67,57.06,49.9,54.0,57.17,57.74,,80.0,72.38,40.0,77.5,60.0,71.46,51.83,,59.42,53.0,63.4,45.19,63.0,70.0,62.15,62.75,54.28
2023-02-10,73.0,58.4,72.0,70.48,,56.21,58.0,60.17,64.0,53.0,,57.6,59.0,53.25,48.0,57.71,50.32,,58.05,58.11,,80.0,72.38,40.0,75.0,60.0,71.36,52.91,46.0,59.0,52.86,64.0,45.68,57.0,70.75,62.4,65.5,54.94
2023-02-11,72.67,58.6,71.0,69.74,,55.7,59.0,58.11,64.33,53.0,57.5,60.0,59.25,53.42,48.67,57.94,50.52,54.08,57.36,59.35,,80.0,72.2,40.0,78.44,60.0,71.71,51.81,46.0,58.92,51.54,63.4,46.53,64.0,70.25,62.43,62.5,53.86
2023-02-12,73.67,59.8,70.0,70.6,,55.7,59.0,59.57,64.33,53.0,,58.67,59.5,53.5,50.8,58.25,50.5,53.25,57.41,59.0,,80.0,72.0,40.0,77.5,60.0,71.08,52.57,47.0,59.14,52.86,63.4,46.88,63.6,70.25,62.83,63.0,54.61
2023-03-05,69.5,57.75,70.0,68.64,,53.73,57.0,59.5,56.0,53.0,57.5,57.14,59.33,52.25,51.75,56.6,46.32,53.42,56.18,56.21,60.2,80.0,71.44,30.0,74.18,55.0,70.2,51.71,45.0,57.67,51.39,61.6,43.21,62.0,70.0,60.77,60.75,54.55
2023-03-06,70.67,58.2,70.0,68.81,,54.17,57.0,65.4,60.0,53.0,,56.71,59.33,52.67,51.75,56.93,46.26,53.79,56.97,56.47,,84.0,71.75,40.0,76.67,55.0,70.7,51.96,,58.8,52.9,62.2,43.47,61.33,69.0,61.36,62.0,55.94
2023-03-07,70.67,58.2,71.0,70.25,,54.64,57.0,58.75,56.0,53.0,57.5,56.71,58.75,52.92,51.75,57.27,46.94,53.46,57.72,56.89,,85.0,72.0,33.0,73.3,57.5,67.64,52.08,45.0,56.88,51.0,63.4,44.53,63.0,69.75,61.5,62.0,55.52
2023-03-08,70.67,55.75,73.0,69.12,,55.17,58.0,58.11,64.0,53.0,57.5,56.83,59.25,53.08,51.75,57.44,49.32,53.93,57.65,57.05,,80.0,72.6,40.0,73.56,60.0,68.67,51.96,45.0,57.2,51.56,63.4,45.22,62.44,69.75,62.19,62.5,54.5
2023-03-09,73.0,58.2,,70.69,,56.0,58.0,60.43,64.0,53.0,,57.67,59.25,54.45,45.0,57.3,50.06,,56.73,57.74,,76.0,73.33,40.0,75.0,60.0,,52.29,45.0,59.36,53.0,60.0,45.43,57.0,,62.29,66.0,54.14
