Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,115.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,129.0,113.4,120.0,107.95,,102.36,105.0,102.38,107.33,112.0,,98.8,93.67,105.83,113.0,104.0,114.59,,101.45,112.22,114.0,152.0,111.56,69.0,117.14,110.0,115.63,103.52,120.0,110.75,98.86,118.4,114.5,103.9,105.0,104.57,109.25,118.12
2023-01-06,131.5,113.6,116.75,109.31,,103.72,105.0,104.86,109.67,113.0,123.5,102.83,98.0,107.67,118.33,105.0,115.03,130.57,103.79,115.39,,152.0,113.67,75.0,117.43,110.0,119.0,103.16,123.0,105.2,100.1,116.5,115.36,104.4,103.25,105.79,109.25,118.14
2023-01-07,127.67,117.5,120.0,108.43,,105.66,105.0,103.63,119.0,113.0,,99.57,100.67,112.58,114.5,103.76,117.93,128.93,104.78,115.05,,150.0,112.8,75.0,130.0,110.0,122.0,102.52,113.0,110.57,103.0,121.0,115.08,106.88,104.67,106.86,109.5,116.16
2023-01-08,127.67,113.25,120.0,109.15,,106.67,110.0,104.44,118.33,117.0,123.5,107.43,100.0,113.42,116.0,106.0,120.03,130.15,105.98,117.42,,163.0,112.67,75.0,117.43,110.0,124.33,106.42,113.0,108.4,100.83,121.2,116.91,106.9,106.5,107.09,110.0,116.83
2023-01-09,128.0,115.0,120.0,109.56,,108.14,110.0,106.14,120.33,115.0,122.5,104.6,99.0,112.5,116.67,106.37,121.59,132.18,106.5,118.53,,170.0,115.0,75.0,123.75,110.0,122.0,107.71,,109.91,100.27,123.6,118.48,106.9,111.33,107.43,110.75,118.39
2023-01-10,,124.0,120.0,111.94,,113.38,110.0,109.43,125.0,123.0,,112.67,104.25,114.0,118.33,108.93,123.93,,109.05,122.05,,161.0,116.67,80.0,120.0,120.0,,113.0,120.0,115.67,102.5,130.0,124.43,113.0,115.0,109.34,120.0,121.08
2023-01-11,131.0,125.0,125.0,113.29,,112.25,113.0,110.63,126.33,125.0,130.0,112.5,103.25,115.17,122.0,111.74,124.34,137.23,111.85,124.47,,176.0,119.67,80.0,124.5,120.0,117.14,114.71,120.0,115.54,102.11,123.6,123.1,113.5,112.0,110.21,114.25,126.7
2023-01-12,130.0,122.2,125.0,114.62,,112.73,113.0,111.0,128.0,118.0,135.0,108.83,106.0,116.08,116.33,111.84,125.23,134.82,112.72,124.47,,180.0,116.5,87.0,127.63,120.0,121.33,113.35,,116.33,102.76,123.75,123.14,113.22,112.33,111.89,111.0,125.9
2023-02-05,129.0,113.4,116.67,108.5,,102.59,105.0,102.63,109.0,112.0,123.5,96.67,97.75,106.0,114.5,103.11,114.7,129.79,101.65,111.32,114.71,152.0,110.88,69.0,117.14,110.0,113.33,102.88,120.0,110.71,99.67,118.4,115.78,103.9,106.0,104.76,109.25,117.74
