Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,135.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,211.5,201.8,130.0,156.55,,144.0,173.0,163.71,169.0,137.0,,167.2,154.0,166.0,170.67,155.18,181.52,,148.06,176.22,175.25,258.0,152.7,115.0,191.5,150.0,171.67,151.95,169.0,134.25,159.14,192.8,205.14,181.4,157.5,150.56,153.75,150.18
2023-01-06,211.5,201.8,160.0,151.35,,139.47,173.0,157.43,164.33,133.0,168.5,158.0,143.0,162.75,167.67,147.17,178.03,205.0,143.42,173.0,,258.0,140.1,90.0,196.33,160.0,170.91,145.96,169.0,127.5,156.5,181.5,195.8,180.1,149.5,147.52,148.0,140.45
2023-01-07,199.67,179.75,130.0,147.64,,135.03,173.0,151.63,161.0,130.0,,158.86,143.33,154.0,163.0,142.63,173.23,198.1,138.13,167.89,,248.0,141.6,106.0,182.5,130.0,148.75,139.72,166.0,120.86,158.3,184.8,186.18,173.25,150.0,144.1,144.0,139.5
2023-01-08,199.33,199.5,130.0,145.69,,137.53,154.0,150.11,150.67,137.0,161.0,154.86,139.67,159.5,156.0,140.71,171.56,193.2,136.36,161.89,,258.0,136.3,108.0,186.0,130.0,146.56,135.79,166.0,131.3,153.5,180.8,188.75,172.5,145.75,142.61,143.75,131.71
2023-01-09,195.67,196.0,160.0,147.67,,139.08,154.0,143.0,155.0,144.0,161.0,138.8,143.25,166.67,153.33,139.79,170.22,198.25,136.23,161.22,,258.0,133.89,108.0,192.3,140.0,141.88,140.43,,125.64,152.36,181.2,182.43,173.0,134.67,142.03,139.25,133.27
2023-01-10,,168.33,,142.69,,133.96,154.0,146.0,151.67,145.0,,139.0,144.75,163.67,145.33,137.29,167.27,,138.46,159.83,,235.0,140.0,110.0,190.0,140.0,,137.08,170.0,124.33,148.67,187.0,183.23,152.0,137.0,139.89,137.5,131.69
2023-01-11,184.0,165.25,131.5,148.07,,135.06,150.0,144.0,153.33,143.0,161.5,137.0,140.0,159.92,148.75,138.58,167.53,191.3,135.0,158.5,,248.0,135.0,107.0,188.63,140.0,139.33,137.58,170.0,127.08,152.22,179.4,179.46,170.8,130.0,141.35,137.5,132.57
2023-01-12,177.5,184.2,120.0,147.4,,134.81,150.0,149.0,152.0,146.0,160.0,138.4,140.25,162.17,151.4,137.89,167.97,182.63,135.8,158.89,,258.0,134.44,108.0,189.1,130.0,139.0,136.55,,127.93,150.55,176.67,181.69,169.11,133.0,141.29,128.67,131.9
2023-02-05,211.5,201.8,177.5,157.35,,145.54,173.0,161.63,165.67,137.0,172.5,170.83,154.5,166.25,170.0,152.17,181.77,209.3,147.55,175.28,184.14,258.0,153.22,112.0,196.67,150.0,175.5,152.2,169.0,143.17,160.0,192.8,202.18,181.4,152.67,150.53,154.0,147.7
2023-02-06,205.67,201.8,145.0,152.11,,139.54,173.0,155.25,164.33,130.0,168.5,163.29,135.67,162.17,168.75,146.24,178.09,204.67,142.03,172.0,,258.0,137.6,90.0,196.22,160.0,175.0,146.75,169.0,132.0,159.12,184.8,194.17,180.22,151.0,147.64,145.33,141.59
2023-02-07,194.0,171.33,,144.26,,134.52,173.0,146.17,157.0,130.0,,154.83,143.33,154.25,157.0,147.79,172.45,,138.69,167.89,,235.0,141.6,110.0,182.5,130.0,,136.17,,126.33,149.0,185.0,189.8,155.33,129.0,143.48,,138.85
