Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,38.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,42.5,22.2,25.0,21.86,,18.07,20.0,21.14,22.5,25.0,,24.4,16.67,25.45,26.33,17.27,21.0,,16.03,18.32,41.25,67.0,31.6,9.0,47.8,20.0,42.14,18.48,20.0,22.75,20.57,31.4,22.25,25.6,25.75,20.21,20.75,20.35
2023-01-06,44.0,22.0,34.67,24.92,,19.11,25.0,21.57,22.5,26.0,22.5,21.67,19.0,25.17,26.67,18.33,20.9,23.0,15.23,17.44,,60.0,32.0,9.0,48.18,20.0,44.55,19.04,23.0,21.89,20.71,32.5,23.33,25.0,26.0,20.07,20.5,21.71
2023-01-07,43.33,24.0,40.0,27.36,,20.74,25.0,21.63,22.0,32.0,,22.29,22.67,26.91,27.5,20.5,23.7,24.64,18.36,20.39,,60.0,37.8,10.0,55.33,20.0,44.6,21.24,22.0,21.5,20.33,36.0,25.08,24.0,28.33,22.65,21.25,24.33
2023-01-08,48.33,26.0,40.0,30.35,,24.22,25.0,24.44,25.0,30.0,31.5,22.29,20.67,32.75,33.67,23.41,28.53,27.54,20.96,23.79,,75.0,40.2,10.0,48.2,25.0,47.33,23.88,29.0,26.1,22.39,37.0,28.87,27.2,30.5,25.19,24.5,26.43
2023-01-09,56.67,29.8,42.5,35.67,,31.03,35.0,33.29,33.0,38.0,37.5,26.2,24.0,38.5,40.0,29.21,34.41,34.75,26.2,31.74,,67.0,49.11,11.0,52.91,32.5,49.67,31.89,,33.45,24.7,43.0,35.94,30.1,40.33,29.99,32.25,35.41
2023-01-10,,33.67,,38.25,,30.71,38.0,32.43,32.67,38.0,,27.67,30.25,37.5,38.33,30.07,34.5,,28.08,30.32,,60.0,49.0,14.0,60.0,30.0,,34.25,35.0,33.78,24.83,40.0,36.3,31.0,46.0,29.89,23.5,34.31
2023-01-11,65.0,67.0,68.0,59.39,,55.6,70.0,52.63,66.33,78.0,71.0,39.83,42.5,67.5,45.75,46.0,57.39,66.38,56.21,55.05,,90.0,74.2,18.0,58.0,60.0,57.53,55.71,76.0,56.69,37.56,53.0,69.0,57.7,53.75,55.93,60.75,54.74
2023-01-12,79.0,55.6,80.0,62.2,,54.07,53.0,61.33,51.33,60.0,59.0,63.0,57.0,60.5,61.6,53.89,58.77,58.5,54.93,53.37,,90.0,71.44,37.0,58.18,60.0,70.0,53.85,,60.14,53.18,61.25,58.14,58.44,64.0,56.84,60.5,58.75
2023-02-05,42.5,22.2,33.0,22.36,,18.22,20.0,22.0,22.5,25.0,23.0,24.33,19.5,25.5,26.5,18.17,20.77,21.14,16.32,18.0,39.86,67.0,31.67,9.0,48.91,20.0,42.5,18.88,20.0,22.43,20.42,33.75,22.5,25.5,26.0,20.13,21.25,21.13
