Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,22.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,40.0,30.8,20.0,17.14,,14.25,10.0,18.29,23.67,18.0,,23.2,14.33,20.27,23.33,15.09,26.17,,16.63,24.42,22.0,60.0,24.7,7.0,34.9,15.0,33.14,17.48,24.0,15.25,19.07,26.6,27.0,27.2,22.5,14.29,13.25,16.65
2023-01-06,41.0,30.4,22.0,19.08,,16.44,17.0,19.86,23.0,22.0,32.0,23.17,13.75,22.08,23.67,16.17,27.1,31.77,17.79,23.67,,45.0,24.0,8.0,35.18,20.0,31.36,17.96,25.0,16.56,19.13,28.25,30.86,26.8,23.25,16.25,15.5,17.62
2023-01-07,43.33,29.75,25.0,20.82,,17.71,20.0,21.5,23.0,24.0,,22.86,17.33,25.18,24.25,17.63,28.63,32.71,19.28,25.28,,50.0,26.2,9.0,42.33,20.0,27.38,18.68,25.0,18.67,21.0,33.2,31.58,26.71,24.0,18.27,17.5,19.61
2023-01-08,43.33,31.25,25.0,22.38,,19.25,25.0,22.67,22.0,27.0,33.5,23.0,17.0,26.25,27.67,19.53,30.5,35.46,20.71,27.42,,60.0,25.7,10.0,36.3,20.0,28.73,20.54,26.0,19.9,21.32,33.2,35.09,30.1,23.75,19.87,21.75,20.9
2023-01-09,46.67,31.2,25.0,21.67,,19.51,25.0,25.0,21.0,27.0,35.0,25.0,16.75,31.17,28.33,19.58,30.78,35.33,20.8,27.79,,60.0,26.22,11.0,40.09,20.0,28.73,20.39,,19.64,21.65,35.6,34.61,29.2,24.0,20.0,22.5,21.05
2023-01-10,,30.33,,20.94,,19.17,25.0,25.57,20.0,25.0,,26.33,16.5,31.42,28.33,19.5,30.57,,19.84,26.79,,49.0,26.0,12.0,40.0,20.0,,20.08,33.0,19.44,21.67,28.0,35.87,26.5,25.0,19.87,19.0,19.69
2023-01-11,46.67,29.25,25.0,22.04,,19.61,25.0,26.13,21.67,28.0,34.0,24.67,18.0,30.5,29.5,20.21,32.47,40.77,20.89,27.21,,60.0,26.6,11.0,40.56,20.0,26.33,20.08,37.0,20.69,22.59,35.4,35.87,27.3,23.0,19.53,23.0,21.61
2023-01-12,43.33,31.6,25.0,21.75,,19.13,29.0,24.89,23.33,25.0,36.5,24.6,19.67,26.92,28.0,22.44,32.67,38.67,20.14,27.84,,70.0,26.78,11.0,38.82,20.0,28.21,19.85,,21.79,21.76,32.5,36.74,29.44,23.33,19.77,23.25,20.6
2023-02-05,40.0,30.8,24.5,17.52,,14.44,10.0,18.88,23.67,19.0,28.0,23.83,15.5,20.33,22.5,15.28,26.03,30.86,16.94,24.42,25.0,60.0,24.44,7.0,35.36,17.5,32.7,17.72,24.0,16.14,19.33,28.25,28.89,27.0,22.0,14.27,13.25,17.35
