Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Developed by:- National Informatics Centre(NIC),Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,43.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,40,51.4,28,37.14,,36.07,39,35.75,41,39,Developed by:- National Informatics Centre(NIC),,33.2,33.67,34.42,38.33,37.17,50.97,,34.7,44.68,35.25,60,30.7,22,46.5,35,33.67,33.62,41,32.75,37.57,52,52,45.3,33.5,34.91,34.5,41.35
2023-01-06,39,51.4,33.5,37.54,,35.94,39,33.29,39,39,Developed by:- National Informatics Centre(NIC),42.5,37.5,38.75,35.08,36.67,35.58,50.61,49.43,35.18,44.5,,65,31.9,22,45.55,35,36.08,33.44,41,35.2,38.26,52.75,51.77,45.5,34.25,35.48,34.25,42.67
2023-01-07,41,54.75,36,39.82,,36.69,39,34.88,42,38,Developed by:- National Informatics Centre(NIC),,39.29,42.33,35.42,38.75,35.76,52.07,48.86,35.33,45.32,,65,38.2,24,46.67,35,39.75,34.6,43,35.57,37.4,50.4,53.08,47,36,35.96,34,41.79
2023-01-08,41,53.25,36,40.85,,37.69,41,37,42.67,39,Developed by:- National Informatics Centre(NIC),45.5,37.14,39.75,35.5,37.67,37,53.91,49.15,35.91,46.79,,65,37.7,24,45.4,40,39.94,36.13,43,38.5,38.47,51.4,55.26,47.3,38,36.35,35.25,42.83
2023-01-09,41.33,52.2,31.67,41.93,,37.95,41,39.86,44.67,39,Developed by:- National Informatics Centre(NIC),47,38.4,40.25,37.25,37.67,37.74,54.91,50,36.64,47.58,,65,38.67,23,47.09,40,40.56,37.18,,37.36,39.69,51.4,55.26,48.4,38.33,36.68,35,43.83
2023-01-10,,54,38,42.06,,38.38,41,39.86,46.33,39,Developed by:- National Informatics Centre(NIC),,41,40.5,38,37,39.21,56.07,,37.7,47.63,,65,41.67,26,50,40,,36.42,47,36.11,40.17,60,56.61,51,41,36.9,35,41.62
2023-01-11,45,56.25,41,42.71,,38.42,42,42.25,48,39,Developed by:- National Informatics Centre(NIC),48,39.83,40.75,38.5,37.5,39.11,56.31,50.64,37.96,48.89,,70,38.1,27,47.7,40,40.07,37.46,54,38,40.25,53.8,56.74,50.8,39,37.11,35.5,43.7
2023-01-12,45.33,52.8,37,43.14,,38.27,42,40.44,48.67,39,Developed by:- National Informatics Centre(NIC),49,40.83,41.75,38.75,42.17,38.58,56.17,51.15,38.59,49,,71,38,27,48.09,40,40.69,37.05,,38.73,40.2,51,57.78,50.89,38.67,37.27,36.25,43.05
2023-02-05,40,51.4,34.33,38.22,,35.81,39,34.38,40.33,39,Developed by:- National Informatics Centre(NIC),42.5,34.5,37.75,34.42,36,35.63,50.57,52.5,35.03,44.74,38.5,65,30.56,22,46.64,35,35.13,33.68,41,33.14,38,52,51.89,45.3,34,34.96,34.75,42.17
2023-02-06,40.67,51.4,37,38.32,,35.86,39,33.75,39,39,Developed by:- National Informatics Centre(NIC),42.5,37.86,38.75,35.08,38.25,35.72,50.91,49.14,35.85,44.53,,65,32.1,22,45.55,35,36.31,33.61,41,35.38,38.19,51.6,52.1,46.11,34,35.56,33.67,43
2023-02-07,44,53,38,39.11,,36.17,39,36.83,41,38,Developed by:- National Informatics Centre(NIC),,39.33,42.33,35.42,38,37.33,53,,35.6,45.37,,64,38.4,24,46.67,38,,35.42,,34.25,37.11,55,52.5,44,38,36,,42.77
