Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,20.5,21.0,15.0,13.5,,22.14,25.0,21.29,22.67,26.0,,13.8,24.33,27.18,25.33,24.9,18.34,,18.52,23.58,21.67,31.0,22.9,9.0,27.8,28.0,18.71,24.81,23.0,25.5,19.71,18.8,25.25,17.9,10.5,26.12,28.25,20.59
2023-01-06,20.5,21.2,21.0,13.35,,21.72,25.0,21.57,22.67,26.0,23.5,13.33,25.25,27.5,26.67,24.24,18.71,14.43,19.26,23.39,,30.0,23.2,8.0,28.0,28.0,18.27,25.48,23.0,26.2,19.94,18.75,24.48,18.0,10.5,26.2,28.0,20.67
2023-01-07,20.33,21.5,15.0,13.21,,22.23,25.0,22.13,25.0,25.0,,14.14,24.67,27.55,25.0,24.2,18.83,14.36,19.1,23.63,,30.0,27.0,9.0,28.33,28.0,17.13,25.96,23.0,26.0,21.44,19.0,25.5,17.88,10.0,26.23,28.25,20.67
2023-01-08,20.33,22.0,15.0,13.38,,22.39,27.0,23.11,27.33,26.0,24.5,14.86,24.33,27.58,26.67,23.56,19.53,14.08,19.02,23.58,,36.0,22.6,9.0,27.9,28.0,17.25,26.21,23.0,26.8,20.28,19.0,23.7,18.2,11.0,26.52,28.25,21.38
2023-01-09,20.33,21.2,22.5,13.46,,22.7,27.0,25.29,27.0,26.0,24.5,15.0,25.75,27.58,26.67,23.39,19.41,14.0,19.05,23.56,,33.0,22.89,9.0,28.91,28.0,17.4,26.21,,26.45,20.2,19.0,23.42,18.8,10.67,26.77,28.25,21.95
2023-01-10,,23.0,,14.5,,22.7,27.0,24.71,27.0,26.0,,14.67,26.0,27.58,26.67,22.77,19.4,,18.64,23.79,,31.0,30.0,9.0,25.0,28.0,,26.42,22.0,25.56,20.17,17.0,24.52,24.0,12.0,26.68,28.5,19.69
2023-01-11,20.67,22.0,17.5,13.48,,22.44,27.0,25.29,27.0,26.0,24.5,16.83,25.0,27.58,27.0,24.61,19.81,14.43,19.11,23.79,,31.0,21.6,9.0,29.1,28.0,17.67,25.92,20.0,26.38,19.93,19.0,23.61,18.8,10.5,26.8,28.25,21.7
2023-01-12,19.0,22.0,15.0,13.79,,22.62,27.0,23.5,27.0,26.0,24.0,17.0,26.67,27.58,25.5,24.67,19.0,14.17,19.09,23.84,,31.0,22.22,9.0,29.18,28.0,17.73,25.95,20.0,26.86,21.64,20.5,24.23,19.25,10.67,27.05,28.25,21.0
2023-02-05,20.5,21.0,18.0,13.6,,21.84,25.0,21.71,22.67,26.0,23.5,13.67,24.67,27.42,28.0,23.94,19.07,14.21,18.64,23.53,20.75,30.0,23.0,9.0,28.0,28.0,17.8,25.28,23.0,26.43,20.17,18.8,24.78,17.9,10.67,26.09,28.25,21.26
