Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,122.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,194.0,135.5,220.0,167.5,,177.7,178.0,156.0,189.67,161.0,,175.4,173.33,162.5,179.0,156.2,139.17,,154.94,144.33,188.0,250.0,178.2,105.0,177.33,160.0,205.0,131.52,119.0,158.0,166.86,202.8,136.25,152.6,177.75,166.05,161.75,158.29
2023-01-06,191.5,129.8,212.5,160.05,,176.57,178.0,152.14,183.33,156.0,136.5,159.5,167.5,157.4,176.67,158.53,133.13,128.69,151.68,135.72,,250.0,177.8,105.0,177.33,147.5,181.25,125.0,119.0,162.6,167.25,190.0,119.9,149.9,179.5,163.82,158.5,150.1
2023-01-07,175.67,118.5,200.0,158.42,,174.15,178.0,147.88,147.0,146.0,,160.29,172.0,151.0,175.75,160.2,128.47,122.0,149.29,130.74,,242.0,200.0,103.0,,115.0,185.0,121.76,113.0,154.57,167.75,193.4,116.5,135.75,179.0,161.03,156.25,147.0
2023-01-08,164.33,118.25,200.0,153.76,,171.39,156.0,147.22,130.33,143.0,120.0,142.0,168.0,151.2,169.67,153.19,124.34,122.31,145.82,130.53,,244.0,180.0,101.0,176.0,115.0,186.0,117.54,113.0,150.78,164.25,191.4,117.26,123.4,169.25,163.73,155.0,134.95
2023-01-09,141.0,119.0,212.5,155.87,,170.79,156.0,143.83,132.67,143.0,122.5,126.2,158.5,152.4,168.67,157.41,124.66,122.33,143.26,127.32,,244.0,169.5,106.0,181.0,120.0,186.0,119.18,,137.1,162.32,195.0,116.35,119.0,161.0,163.27,154.75,134.05
2023-01-10,,113.0,,152.71,,166.67,156.0,141.43,131.33,141.0,,123.0,162.25,150.0,165.33,152.5,122.17,,142.69,123.63,,244.0,200.0,103.0,,125.0,,115.17,110.0,132.0,149.8,210.0,113.7,110.0,158.0,161.4,141.5,134.85
2023-01-11,141.67,110.5,170.0,154.0,,161.23,148.0,138.75,126.67,139.0,117.5,126.67,159.25,146.5,152.0,152.06,120.53,118.0,139.57,122.16,,228.0,171.0,97.0,203.0,120.0,202.5,116.13,110.0,137.75,158.14,189.4,112.29,116.1,144.5,159.38,150.0,130.96
2023-01-12,136.0,110.0,180.0,153.12,,159.48,148.0,141.22,127.33,139.0,117.0,129.6,159.75,145.83,157.75,152.8,121.7,117.58,135.98,123.58,,244.0,171.0,97.0,197.5,120.0,200.0,115.35,,135.62,158.3,193.33,113.09,118.44,149.33,159.19,147.67,128.76
2023-02-05,194.0,133.0,180.0,166.57,,176.89,178.0,159.63,186.67,161.0,136.5,176.67,173.0,162.5,183.5,163.29,138.77,139.43,154.03,143.63,191.4,250.0,182.75,105.0,177.33,160.0,181.25,132.24,119.0,165.33,168.33,202.8,132.33,152.3,174.33,165.76,161.5,154.52
