Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,274.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,300.0,322.0,,244.55,,273.61,270.0,305.14,243.0,243.0,,312.0,220.0,260.27,314.33,307.11,307.55,,252.39,291.79,265.67,620.0,361.0,123.0,204.44,240.0,286.67,284.53,387.0,285.5,302.21,433.2,282.14,298.3,208.5,244.12,262.25,294.82
2023-01-06,300.0,322.0,314.0,254.08,,272.58,270.0,289.57,251.0,243.0,315.5,322.17,235.5,263.0,314.67,284.13,299.16,236.79,261.21,290.83,,600.0,361.3,123.0,195.11,300.0,314.0,291.89,387.0,268.3,301.87,432.5,293.31,298.7,212.0,245.19,262.0,289.52
2023-01-07,308.33,354.25,,255.04,,277.49,270.0,281.25,317.0,242.0,,315.14,240.67,262.45,317.0,281.36,300.83,234.79,244.97,289.74,,595.0,348.0,129.0,140.0,240.0,312.67,289.7,387.0,282.0,308.67,442.0,275.7,294.75,227.33,243.25,261.5,283.44
2023-01-08,308.33,331.25,,257.04,,276.81,275.0,284.33,345.0,242.0,315.5,282.71,225.67,256.08,319.67,286.53,295.5,230.92,245.29,291.63,,558.0,359.3,154.0,482.14,240.0,308.67,286.12,387.0,275.0,304.03,446.0,286.72,295.9,213.0,245.53,263.0,278.14
2023-01-09,308.33,325.0,300.0,259.76,,273.92,275.0,282.14,350.0,247.0,315.5,280.8,234.5,258.83,317.33,294.76,292.47,236.92,242.59,291.28,,558.0,347.0,154.0,493.89,240.0,319.29,276.18,,269.09,297.16,446.0,287.4,298.4,235.0,242.91,263.25,276.14
2023-01-10,,352.67,,263.87,,282.83,275.0,301.0,350.0,247.0,,275.67,236.5,258.75,341.67,295.0,296.1,,250.81,293.32,,558.0,313.33,163.0,520.0,200.0,,257.0,393.0,255.56,288.17,343.0,275.87,293.5,200.0,240.9,257.5,265.46
2023-01-11,308.33,378.25,,257.73,,276.36,276.0,302.86,348.67,243.0,325.5,263.33,237.33,258.17,325.75,294.12,289.77,230.86,248.26,294.32,,559.0,363.5,155.0,475.56,260.0,304.64,266.58,393.0,261.85,302.15,446.0,289.65,299.3,221.5,243.61,264.5,274.74
2023-01-12,320.0,343.0,,270.67,,275.66,277.0,313.71,350.0,243.0,321.5,259.8,248.33,260.17,330.83,293.59,286.07,226.75,252.64,296.16,,560.0,365.22,155.0,479.3,280.0,320.36,280.07,390.0,261.07,304.14,406.5,296.3,308.25,237.0,240.91,265.5,279.21
2023-02-05,300.0,322.0,310.0,250.48,,271.62,270.0,279.75,245.0,243.0,315.5,307.67,249.0,261.67,318.5,296.67,305.73,233.0,253.85,291.63,267.5,615.0,345.56,123.0,197.3,300.0,300.0,279.53,387.0,277.43,312.83,433.2,293.64,298.3,189.67,244.05,264.0,287.48
2023-02-06,308.33,322.0,328.0,251.96,,271.59,270.0,280.5,251.0,243.0,316.5,304.33,235.5,262.42,312.5,285.6,302.38,235.64,256.48,290.89,,600.0,362.0,125.0,195.33,240.0,315.45,290.05,,268.0,301.04,441.8,295.07,299.44,226.0,245.7,250.0,284.91
2023-02-07,325.0,345.67,,252.5,,281.31,270.0,294.67,320.0,242.0,,319.33,240.67,258.5,358.0,292.0,306.62,,244.91,289.74,,598.0,350.0,129.0,142.33,240.0,,273.33,,282.25,278.29,381.5,279.69,286.33,197.0,242.75,,283.15
2023-02-08,308.33,375.67,333.0,258.48,,278.24,275.0,293.13,347.33,242.0,315.5,287.8,235.0,260.64,316.25,283.63,296.54,230.38,244.52,291.74,,558.0,359.3,152.0,482.14,240.0,317.86,285.6,400.0,273.8,300.84,446.0,286.72,296.1,213.75,242.26,263.0,269.85
2023-02-09,308.33,325.6,,258.5,,275.69,275.0,315.8,350.0,247.0,,289.75,234.5,258.75,316.67,299.18,296.17,231.38,244.6,292.0,,558.0,341.25,168.0,520.0,240.0,319.29,269.16,,259.17,298.0,444.0,294.59,297.9,235.0,242.92,263.25,277.44
2023-02-10,325.0,338.2,,261.55,,277.54,275.0,292.33,350.0,247.0,,274.4,236.5,258.75,326.0,296.71,291.35,,246.14,293.21,,558.0,341.25,155.0,453.75,200.0,312.0,257.78,393.0,267.0,301.0,450.0,280.77,288.0,222.0,240.64,257.5,262.94
