Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,30.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,67.5,21.2,40.0,29.37,,17.57,23.0,14.71,10.0,23.0,,23.0,19.67,32.82,32.33,18.45,16.59,,14.91,19.37,45.5,80.0,40.89,6.0,63.67,20.0,52.5,18.86,8.0,27.25,21.79,31.0,14.38,28.4,34.75,19.04,20.0,22.94
2023-01-06,67.5,25.4,46.67,30.57,,21.5,28.0,19.14,10.0,21.0,25.0,27.0,19.75,29.25,27.67,22.06,19.45,38.08,16.79,19.22,,80.0,39.78,6.0,62.44,20.0,54.0,23.32,8.0,23.0,22.06,33.75,33.57,27.7,41.25,19.28,19.25,29.19
2023-01-07,87.33,71.5,100.0,44.13,,38.85,34.0,75.13,67.0,87.0,,64.57,33.0,67.64,58.0,53.0,56.31,97.14,62.39,53.33,,123.0,64.6,14.0,65.67,100.0,88.07,76.96,14.0,41.5,37.4,96.0,88.55,47.43,65.67,68.31,59.25,55.29
2023-01-08,174.67,162.25,110.0,94.0,,126.89,115.0,140.33,132.0,177.0,138.5,123.14,117.33,133.0,118.0,125.82,117.19,130.38,142.73,128.32,,240.0,83.22,37.0,72.56,120.0,109.67,148.25,117.0,147.4,141.46,129.6,141.39,119.5,76.75,148.79,114.0,163.38
2023-01-09,100.0,29.0,70.0,84.13,,66.68,45.0,45.0,41.0,40.0,36.0,71.4,68.5,54.08,61.33,58.22,33.38,38.92,48.05,45.68,,150.0,68.78,17.0,79.22,40.0,92.33,44.79,,46.09,82.32,79.6,27.81,42.2,84.67,54.56,45.0,57.75
2023-01-10,,20.0,,46.85,,33.78,30.0,27.71,17.67,25.0,,37.0,31.5,31.08,37.33,34.21,17.63,,21.76,19.47,,70.0,35.0,9.0,70.0,20.0,,29.0,15.0,27.11,33.0,40.0,17.87,20.0,42.0,27.1,20.5,37.23
2023-01-11,66.67,23.75,46.67,43.04,,35.0,40.0,30.38,20.67,37.0,23.5,22.17,28.25,34.0,33.25,36.0,21.44,27.92,30.38,22.74,,107.0,40.5,10.0,74.25,40.0,50.67,35.75,15.0,30.31,33.78,44.0,26.74,26.6,45.5,31.23,29.0,42.26
2023-01-12,81.67,25.8,50.0,51.65,,47.1,50.0,37.56,42.0,53.0,49.0,34.8,42.67,61.58,58.8,46.44,29.83,46.33,34.68,39.63,,90.0,54.22,14.0,70.5,40.0,63.46,40.35,,61.5,40.35,55.0,36.31,26.78,62.33,43.13,48.5,54.2
2023-02-05,67.5,21.6,39.5,28.83,,18.42,23.0,14.88,10.0,23.0,27.5,26.17,22.25,33.33,32.0,18.17,17.13,26.07,15.15,19.47,47.5,80.0,41.0,6.0,63.67,20.0,55.56,19.4,8.0,28.29,21.33,33.75,14.94,27.8,28.33,18.92,20.0,24.3
2023-02-06,66.0,28.2,40.0,30.0,,22.05,28.0,20.86,10.0,20.0,25.0,24.17,19.75,29.42,26.75,22.18,20.06,39.62,16.88,19.0,,77.0,40.33,6.0,62.44,20.0,53.64,23.89,9.0,22.88,22.31,32.4,32.11,28.56,45.67,19.48,19.0,29.39
2023-02-07,97.0,82.0,,44.8,,40.76,34.0,69.0,70.0,93.0,,75.17,35.0,70.58,43.0,56.54,63.1,,69.36,55.74,,133.0,60.6,14.0,65.0,100.0,,86.27,,41.75,44.11,80.0,94.19,51.0,100.0,75.63,,55.77
2023-02-08,174.67,159.33,140.0,89.19,,130.88,138.0,149.88,135.0,203.0,141.5,126.4,127.75,186.0,131.0,127.67,119.36,127.71,145.12,129.58,,263.0,83.22,37.0,74.44,120.0,112.5,150.2,150.0,168.89,143.32,129.6,138.75,120.9,76.75,157.48,116.5,169.2
2023-02-09,99.0,29.0,80.0,82.68,,63.17,40.0,46.4,41.0,40.0,,69.4,68.5,50.75,61.33,56.28,33.31,35.38,42.4,44.68,,150.0,69.5,16.0,75.0,40.0,89.88,40.72,,48.67,74.75,77.6,27.26,39.9,84.67,51.22,43.75,55.0
2023-02-10,50.0,19.0,60.0,45.11,,34.43,30.0,27.0,17.67,25.0,,31.6,31.5,31.08,33.5,33.75,17.06,,21.0,19.74,,80.0,40.13,9.0,71.0,20.0,53.75,30.91,15.0,27.46,36.86,45.0,16.55,25.33,47.5,27.31,20.5,35.41
2023-02-11,69.0,22.6,51.0,42.75,,34.06,40.0,30.22,21.0,37.0,24.0,23.83,29.25,34.92,37.67,35.06,22.13,27.38,29.98,23.12,,84.0,41.1,10.0,69.86,40.0,50.94,34.95,15.0,30.62,32.54,43.0,27.57,29.8,48.25,31.48,28.25,42.86
2023-02-12,78.67,26.2,50.0,54.16,,47.82,50.0,37.14,40.33,53.0,,34.0,39.25,61.33,61.4,44.95,28.71,45.08,34.8,39.26,,90.0,53.88,13.0,61.5,40.0,64.8,40.74,20.0,58.93,41.71,56.8,35.7,29.7,60.0,42.58,49.25,53.61
2023-03-05,67.5,22.25,50.0,28.91,,18.32,26.0,12.17,10.0,23.0,28.0,26.57,23.33,33.83,32.25,18.17,17.09,25.83,14.71,19.47,48.83,80.0,39.75,6.0,63.67,20.0,51.43,19.12,8.0,27.0,23.16,31.0,15.42,27.6,33.0,18.77,19.75,24.26
2023-03-06,66.0,29.6,50.0,29.96,,22.31,28.0,24.5,10.0,20.0,,25.57,19.67,30.27,25.75,22.76,20.35,40.36,17.0,19.26,,80.0,38.63,6.0,72.33,20.0,52.08,24.11,,20.8,21.2,32.4,31.8,28.4,45.67,19.4,19.75,28.88
2023-03-07,102.33,66.8,87.33,47.67,,45.6,41.0,80.0,72.0,102.0,94.0,70.86,35.25,77.42,67.25,58.38,63.66,102.23,71.86,56.89,,143.0,70.22,13.0,61.25,100.0,86.93,84.96,13.0,58.14,33.46,100.0,97.58,48.44,63.0,76.52,61.25,65.1
2023-03-08,176.67,168.0,125.0,97.0,,133.03,165.0,148.33,144.0,213.0,141.5,134.5,126.75,185.75,130.25,130.33,118.68,127.07,146.7,130.37,,257.0,83.22,40.0,66.25,120.0,113.0,155.64,150.0,180.6,149.79,152.5,125.65,123.4,76.75,163.92,121.25,170.05
2023-03-09,77.0,29.0,,80.87,,58.32,36.0,42.57,40.67,40.0,,70.0,69.75,50.75,67.0,55.64,32.03,,40.92,43.79,,140.0,60.0,16.0,70.0,40.0,,39.0,30.0,44.09,66.56,88.0,27.17,32.0,,48.49,39.5,54.54
2023-03-10,58.33,18.6,58.0,43.64,,34.36,30.0,27.13,17.67,25.0,24.0,30.5,31.75,30.75,30.67,32.83,17.0,26.0,21.77,19.68,,90.0,40.8,9.0,72.67,25.0,53.44,28.88,15.0,27.47,37.24,42.0,17.57,26.3,47.0,27.11,22.75,36.52
2023-03-11,70.0,22.8,46.67,43.28,,34.97,40.0,31.0,21.0,37.0,25.0,22.5,28.5,36.42,36.0,35.44,21.91,27.23,30.76,23.74,,88.0,42.8,10.0,71.25,40.0,50.94,36.36,15.0,30.69,32.54,43.0,27.3,28.7,45.0,31.8,28.5,42.74
2023-03-12,,27.67,40.0,54.75,,48.3,50.0,36.0,38.67,53.0,,31.0,38.75,61.33,53.0,46.31,29.13,,34.77,39.53,,75.0,42.5,15.0,61.5,40.0,,40.11,,60.0,37.5,47.5,35.58,29.0,,42.11,,54.53
2023-04-05,67.5,22.0,50.0,29.35,,18.62,30.0,13.89,10.0,23.0,28.0,25.71,22.0,33.82,32.25,18.5,17.16,26.83,14.56,19.32,64.5,80.0,41.11,6.0,63.44,20.0,58.75,19.25,8.0,27.71,22.13,31.0,15.67,27.2,35.5,18.43,17.5,24.59
2023-04-06,63.0,31.75,60.0,29.06,,22.19,28.0,21.33,,20.0,,28.75,18.67,29.25,30.5,24.09,20.77,,18.06,19.53,,80.0,36.5,6.0,75.0,20.0,,25.43,9.0,24.0,23.29,37.5,32.0,21.67,38.0,19.67,17.0,29.58
2023-04-07,109.67,81.5,100.0,52.26,,56.57,48.0,87.43,85.0,110.0,100.0,83.5,73.0,83.0,70.25,75.36,71.03,104.38,84.42,68.47,,155.0,83.22,31.0,61.11,100.0,89.2,101.35,80.0,56.83,66.56,104.0,104.41,61.67,75.67,94.0,96.25,112.71
2023-04-08,178.0,163.75,140.0,92.79,,134.58,180.0,155.89,148.67,213.0,140.0,126.71,124.75,181.27,130.75,134.0,119.97,124.57,149.57,129.21,,257.0,80.9,40.0,75.33,120.0,111.33,158.6,,184.1,153.52,143.6,116.0,121.7,65.67,166.09,128.0,170.48
2023-04-09,99.0,31.6,80.67,82.52,,57.85,35.0,40.75,36.67,40.0,36.0,57.0,68.0,48.67,61.33,53.76,32.31,35.38,44.72,42.37,,180.0,69.5,15.0,92.56,40.0,87.5,39.56,33.0,50.5,69.21,77.6,26.31,36.7,82.0,48.42,43.0,55.09
2023-04-10,58.33,18.4,56.67,45.96,,32.61,30.0,25.89,17.67,27.0,24.0,37.83,28.33,30.58,28.0,34.11,17.32,25.31,21.3,19.74,,90.0,41.3,9.0,72.17,20.0,52.81,27.38,15.0,26.86,36.47,42.0,16.7,26.4,46.25,26.7,25.75,35.76
2023-04-11,71.67,24.75,50.0,41.61,,35.31,40.0,33.57,21.0,37.0,,23.86,32.5,36.17,33.6,36.16,22.0,29.46,30.84,24.0,,80.0,41.43,10.0,61.5,40.0,50.63,36.63,15.0,31.42,33.5,43.75,27.96,27.6,48.25,32.08,28.0,43.44
2023-04-12,78.67,27.4,55.0,52.73,,47.83,50.0,36.63,39.0,53.0,,35.83,38.75,61.17,61.4,44.47,29.34,46.83,34.13,38.79,,90.0,56.0,16.0,70.5,40.0,64.06,40.86,21.0,58.14,41.22,56.8,35.06,30.22,61.75,42.79,46.67,53.52
2023-04-13,65.0,21.6,36.67,28.71,,19.03,20.0,15.0,9.0,27.0,25.0,28.75,24.75,34.58,31.0,15.67,18.16,27.14,15.62,20.05,50.33,80.0,37.5,5.0,63.33,20.0,52.56,17.71,8.0,28.0,21.93,32.0,16.0,29.8,40.0,19.8,19.25,23.23
2023-04-14,,22.0,40.0,30.25,,19.16,20.0,14.17,9.0,27.0,,28.8,26.67,34.64,,15.62,18.19,,15.97,20.0,46.25,80.0,39.11,6.0,55.67,20.0,64.0,18.27,8.0,29.6,21.8,32.5,16.38,34.25,31.67,19.49,19.5,22.73
2023-04-15,65.0,21.25,40.0,31.23,,19.16,20.0,14.86,,27.0,,28.5,25.0,34.1,32.25,15.94,17.78,,15.28,20.32,36.0,75.0,40.0,6.0,,20.0,48.0,18.09,8.0,28.0,21.75,32.5,16.23,29.1,20.0,19.93,19.5,22.64
2023-04-16,,24.5,,31.92,,18.73,20.0,17.0,,27.0,,31.33,25.0,34.64,,15.91,18.0,,15.12,20.26,38.0,60.0,35.0,6.0,,20.0,,18.58,8.0,31.0,23.3,35.0,16.33,35.67,20.0,18.96,14.0,21.36
2023-04-17,65.0,22.4,40.0,29.3,,18.92,21.0,16.0,9.0,27.0,26.0,24.75,23.5,34.17,33.5,15.88,17.48,26.92,15.44,20.21,45.6,80.0,39.11,6.0,63.67,20.0,53.75,18.41,8.0,28.86,22.03,32.0,16.11,28.9,34.5,19.93,19.5,23.59
2023-04-18,65.0,21.2,36.0,29.48,,19.24,21.0,15.22,9.0,27.0,25.5,25.6,23.5,34.08,,15.88,17.84,27.14,15.94,20.16,50.33,80.0,40.5,6.0,63.67,20.0,57.5,18.52,8.0,28.5,21.87,33.75,16.42,28.8,40.0,19.82,17.67,24.0
2023-04-19,65.0,21.2,36.5,29.24,,19.13,21.0,15.11,9.0,27.0,25.5,26.33,25.0,34.0,34.0,16.72,17.66,27.21,15.97,20.16,50.33,80.0,38.86,6.0,63.67,20.0,55.71,18.85,8.0,29.17,22.79,32.0,16.44,28.7,34.5,19.84,19.5,24.23
2023-04-20,65.0,20.6,40.0,29.24,,18.87,21.0,15.33,9.0,27.0,25.5,26.33,23.75,33.58,32.25,16.76,17.79,27.79,15.3,20.0,57.4,80.0,40.5,6.0,63.67,20.0,53.33,19.3,8.0,31.0,22.58,31.0,16.63,28.8,34.5,19.86,21.33,24.23
2023-04-21,65.0,21.2,40.0,28.95,,18.79,21.0,15.11,9.0,27.0,25.5,26.5,23.5,34.08,,16.61,17.84,,15.84,20.0,50.33,80.0,37.71,6.0,63.78,20.0,58.75,18.75,8.0,31.33,22.28,31.0,16.47,28.6,20.0,19.7,20.0,23.67
2023-04-22,60.0,20.33,40.0,29.65,,18.15,21.0,18.0,10.0,27.0,,21.0,23.5,34.92,,15.1,17.69,,15.82,19.84,57.5,77.0,40.0,6.0,,20.0,56.0,19.92,8.0,29.25,21.38,32.5,16.45,32.25,20.0,20.05,27.0,24.06
2023-04-23,,21.25,40.0,29.5,,18.33,21.0,17.8,,27.0,,21.0,23.75,35.0,,16.89,17.55,,15.37,20.0,38.0,60.0,43.33,6.0,,20.0,,20.6,,31.0,21.11,35.0,16.9,33.25,20.0,18.82,20.67,22.93
2023-04-24,65.0,21.4,36.5,28.57,,18.59,21.0,15.11,10.0,25.0,25.5,28.8,25.0,34.67,34.33,16.72,17.63,27.57,15.94,19.56,50.33,80.0,39.67,6.0,63.44,20.0,64.29,19.5,8.0,29.29,21.83,31.0,16.05,28.6,34.75,19.75,20.25,25.48
2023-04-25,67.5,21.2,,28.27,,18.76,21.0,15.56,10.0,25.0,25.5,28.5,23.0,34.25,32.75,17.67,17.62,27.77,15.2,19.63,50.33,80.0,39.5,6.0,65.13,20.0,59.0,19.57,8.0,29.17,22.75,31.0,15.84,28.7,34.0,19.46,20.0,24.83
2023-04-26,67.5,21.4,40.0,28.45,,18.58,21.0,15.38,10.0,23.0,23.0,26.83,24.0,33.58,33.5,18.0,17.47,27.07,14.93,19.63,55.4,80.0,41.11,6.0,65.5,20.0,57.86,19.12,8.0,27.8,23.14,32.5,15.89,28.6,34.0,19.35,20.0,25.48
2023-04-27,67.5,21.2,37.5,28.5,,18.53,21.0,15.25,10.0,23.0,25.5,26.17,24.0,33.83,34.67,17.82,17.32,26.71,15.11,19.63,54.6,80.0,41.11,6.0,63.44,20.0,58.13,19.33,8.0,29.0,23.29,31.0,15.53,28.9,34.75,19.09,20.0,24.15
2023-04-28,67.5,21.5,39.67,29.33,,18.5,21.0,14.86,10.0,23.0,25.5,26.2,26.0,32.5,33.33,17.76,17.29,26.21,15.61,19.63,54.4,80.0,41.25,6.0,63.67,20.0,59.29,19.04,8.0,29.14,22.4,28.75,15.35,28.4,40.0,19.11,20.25,23.55
2023-04-29,75.0,22.0,40.0,28.57,,17.97,23.0,15.86,10.0,23.0,,26.17,21.0,32.75,34.0,17.82,16.9,26.0,15.33,19.32,45.5,77.0,41.5,6.0,,20.0,54.17,19.16,,27.4,22.0,31.0,15.36,28.4,40.0,19.13,20.0,23.75
2023-04-30,,22.0,,30.79,,17.57,23.0,16.2,,23.0,,28.5,22.75,32.83,,18.7,16.66,,14.71,19.26,39.5,60.0,35.0,6.0,,20.0,,21.1,8.0,24.5,25.5,35.0,15.56,35.0,20.0,18.66,20.0,22.0
2023-05-05,,21.8,50.0,30.1,,17.86,28.0,15.67,10.0,23.0,28.0,25.43,22.25,33.92,,19.31,17.25,26.69,15.09,19.0,50.0,80.0,41.22,6.0,50.0,20.0,56.11,19.29,8.0,26.17,22.21,32.5,15.33,26.8,20.0,18.72,19.75,23.44
2023-05-06,66.0,28.4,50.0,30.36,,22.62,28.0,19.75,10.0,20.0,28.5,24.67,19.75,29.25,26.25,23.76,21.42,39.79,18.32,20.11,,80.0,39.33,6.0,63.22,20.0,48.33,25.89,10.0,24.0,21.74,33.75,33.1,28.1,42.75,20.27,20.33,30.17
2023-05-07,111.33,84.75,101.5,54.74,,95.85,58.0,87.75,98.0,110.0,110.0,85.6,72.5,85.0,41.0,80.8,73.83,107.14,83.26,73.65,,160.0,83.22,31.0,61.33,100.0,89.87,104.83,100.0,67.86,69.7,106.0,109.12,114.78,68.0,102.72,98.0,119.29
