Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,154.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,141.0,118.8,130.0,116.41,,114.96,113.0,106.13,120.0,130.0,,109.6,102.0,119.25,124.0,113.0,124.66,,114.45,122.5,117.75,142.0,113.38,75.0,115.4,120.0,113.57,119.19,135.0,119.25,112.29,125.6,129.88,108.9,112.33,113.69,114.0,120.24
2023-01-06,140.0,123.4,124.25,118.85,,119.42,113.0,114.43,120.33,138.0,137.5,115.5,106.25,121.58,120.67,119.0,127.45,142.5,123.79,130.78,,151.0,117.38,80.0,115.4,120.0,118.5,125.96,145.0,123.4,109.84,125.75,139.82,110.1,115.67,118.88,115.25,121.95
2023-01-07,145.33,145.0,130.0,125.54,,126.0,124.0,123.25,133.0,148.0,,120.0,119.0,137.42,124.5,129.06,141.47,155.71,132.1,142.58,,177.0,118.0,73.0,137.0,140.0,129.46,133.96,155.0,139.86,113.9,129.4,150.83,117.29,117.5,126.28,120.5,126.37
2023-01-08,148.67,142.75,130.0,128.81,,130.42,132.0,131.0,146.0,148.0,156.0,135.86,118.0,139.92,126.67,135.17,147.66,157.54,136.69,150.37,,180.0,129.25,73.0,115.4,140.0,129.42,139.96,168.0,142.6,113.33,131.4,154.13,128.8,121.33,131.0,124.5,132.74
2023-01-09,149.67,149.2,130.0,134.23,,135.78,132.0,138.5,154.67,162.0,162.0,132.4,130.5,143.83,127.67,141.32,150.72,164.17,142.7,158.21,,180.0,131.0,73.0,132.43,150.0,129.83,149.82,,147.82,115.58,131.4,166.29,133.0,146.0,137.45,124.5,135.74
2023-01-10,,176.33,130.0,140.53,,147.88,132.0,148.57,173.33,170.0,,136.33,129.25,149.33,120.0,149.29,160.7,,149.68,168.79,,197.0,119.33,75.0,,160.0,,156.33,178.0,152.0,126.67,135.0,175.87,157.5,143.0,146.3,149.5,139.69
2023-01-11,168.67,176.25,152.5,142.0,,148.28,135.0,154.88,168.0,177.0,179.0,151.33,126.25,157.17,137.5,156.21,163.16,183.93,153.89,173.63,,203.0,141.14,80.0,138.43,160.0,132.55,159.13,182.0,153.69,119.71,137.4,176.45,163.1,146.67,148.21,133.75,149.04
2023-01-12,165.67,174.2,142.5,142.8,,149.15,135.0,163.11,165.0,170.0,180.0,148.67,130.5,159.17,134.17,155.21,165.47,188.67,158.83,173.0,,211.0,145.83,87.0,142.43,160.0,131.08,159.3,,160.87,119.76,140.0,177.78,168.44,150.0,150.05,138.25,155.95
2023-02-05,141.0,119.2,124.33,115.81,,115.16,113.0,106.25,119.33,130.0,131.0,110.33,105.5,119.42,127.0,112.95,124.27,138.64,114.56,122.37,121.57,152.0,111.0,75.0,115.4,120.0,109.0,119.16,135.0,120.14,113.17,125.6,131.39,109.0,112.33,113.91,114.75,120.96
2023-02-06,135.0,123.4,125.67,119.71,,119.81,113.0,115.88,120.33,138.0,137.5,115.71,106.25,122.08,120.75,120.06,127.63,143.86,124.88,129.89,,156.0,117.38,80.0,115.0,120.0,119.0,127.04,145.0,123.25,109.89,127.6,140.55,110.11,117.5,119.13,116.33,122.77
