Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,123.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,143.0,118.2,120.0,101.39,,107.29,108.0,98.88,116.67,123.0,,107.6,92.33,108.42,122.0,102.0,119.24,,97.73,112.67,90.0,153.0,120.0,69.0,114.0,110.0,111.14,101.48,120.0,115.0,102.14,128.0,121.5,109.8,110.33,106.91,103.25,112.06
2023-01-06,144.0,117.8,119.25,103.18,,107.92,108.0,98.86,120.0,123.0,116.5,104.0,98.75,109.92,118.33,103.74,119.52,133.21,101.08,113.33,,152.0,121.33,71.0,114.0,110.0,113.88,104.08,125.0,109.3,103.94,126.75,125.77,110.2,112.0,109.04,103.25,111.48
2023-01-07,139.0,124.0,125.0,103.92,,109.91,108.0,100.25,129.0,123.0,,107.83,101.0,117.08,118.5,105.65,126.8,135.07,101.7,115.11,,152.0,120.0,65.0,,110.0,121.11,105.64,123.0,115.29,104.7,129.6,129.33,113.5,114.5,109.92,103.0,113.11
2023-01-08,140.67,117.5,125.0,106.35,,110.61,112.0,101.67,129.0,127.0,126.0,119.57,100.25,118.58,118.33,107.06,129.84,138.31,104.64,118.68,,155.0,127.33,65.0,114.0,110.0,122.13,109.13,123.0,113.8,105.0,131.6,129.57,114.5,114.33,110.35,104.75,114.0
2023-01-09,141.33,120.8,125.0,107.17,,111.92,112.0,103.43,132.0,132.0,125.0,112.4,101.75,120.92,117.67,107.05,131.56,140.67,105.36,121.05,,160.0,127.83,65.0,122.86,110.0,121.5,111.64,,115.73,104.5,131.6,133.06,115.1,129.0,110.65,106.25,113.5
2023-01-10,,128.67,130.0,103.0,,116.21,112.0,106.43,132.0,133.0,,118.0,102.75,123.33,117.33,109.86,133.93,,108.14,123.42,,177.0,119.0,70.0,,110.0,,116.67,135.0,121.0,106.83,135.0,139.48,120.0,123.0,112.36,118.5,113.0
2023-01-11,142.67,135.75,125.0,112.33,,116.19,115.0,108.5,134.33,142.0,134.0,116.0,105.0,123.75,118.25,113.89,134.44,143.79,109.77,124.95,,175.0,129.17,75.0,122.17,120.0,124.13,120.67,139.0,121.62,107.96,133.6,143.45,119.4,129.0,113.64,111.75,118.32
2023-01-12,144.0,133.6,130.0,111.47,,119.76,115.0,111.33,138.33,143.0,141.5,114.5,107.5,127.92,121.0,118.53,139.13,149.5,114.37,128.11,,175.0,130.6,83.0,122.17,120.0,122.88,121.85,,123.47,106.6,132.0,147.81,121.78,134.5,115.85,112.75,119.86
2023-02-05,143.0,117.8,120.0,100.64,,107.11,108.0,97.13,117.67,123.0,116.0,105.33,95.5,108.42,123.5,101.68,118.4,134.86,97.53,111.53,115.0,155.0,120.0,69.0,114.0,110.0,109.17,102.36,120.0,113.57,102.0,128.0,122.06,109.8,110.33,107.12,104.0,110.5
