Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,122.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,191.0,119.0,120.0,142.42,,128.07,135.0,125.71,161.5,134.0,,151.4,129.67,139.5,147.67,124.8,124.52,,122.65,131.63,110.0,220.0,145.0,84.0,174.75,130.0,207.5,119.32,150.0,128.0,126.29,136.8,132.13,122.6,124.33,133.75,151.75,116.18
2023-01-06,191.0,118.6,153.33,140.14,,126.89,135.0,128.0,155.0,133.0,146.5,149.67,137.0,142.08,154.67,125.61,125.52,161.23,122.84,129.06,,220.0,142.25,80.0,174.75,122.5,201.67,123.78,150.0,128.8,128.34,137.75,126.33,122.2,126.0,132.63,150.75,116.05
2023-01-07,198.33,117.25,120.0,140.3,,125.09,135.0,124.63,150.0,130.0,,143.71,128.0,140.83,151.5,125.13,123.43,157.36,120.77,130.95,,220.0,132.5,93.0,220.0,130.0,202.0,120.35,149.0,122.43,119.22,137.6,129.75,116.38,136.5,131.75,148.25,116.89
2023-01-08,198.33,114.75,120.0,138.57,,126.03,130.0,126.67,138.0,130.0,141.0,142.43,133.33,143.0,148.0,122.47,123.25,154.0,120.51,131.79,,220.0,142.75,93.0,175.75,122.5,181.67,114.32,149.0,124.5,128.12,133.6,125.3,120.4,126.0,131.53,146.25,115.48
2023-01-09,199.0,117.2,170.0,138.86,,126.95,130.0,121.57,140.67,131.0,145.0,132.6,132.75,140.25,143.0,123.79,122.81,155.08,120.16,131.63,,220.0,140.0,93.0,172.4,122.5,179.17,117.88,,120.82,130.09,136.4,124.26,118.0,136.5,130.47,142.25,114.05
2023-01-10,,114.67,,135.27,,120.71,130.0,126.0,140.0,126.0,,129.67,133.0,137.83,140.67,120.64,121.9,,120.47,129.42,,220.0,135.0,93.0,220.0,130.0,,116.09,140.0,118.0,120.17,167.0,124.35,97.5,143.0,130.44,128.0,112.23
2023-01-11,194.67,111.5,120.0,138.52,,123.36,128.0,123.25,136.67,126.0,142.5,129.83,132.25,135.67,138.5,124.0,121.72,149.71,117.66,127.42,,220.0,139.25,88.0,173.5,120.0,171.0,115.09,140.0,121.23,124.96,134.8,121.74,119.4,127.67,129.47,130.5,114.17
2023-01-12,191.67,112.8,120.0,138.6,,120.94,128.0,126.0,136.67,126.0,142.5,130.2,127.25,133.0,142.2,123.53,121.73,143.42,118.3,126.95,,220.0,139.25,92.0,169.4,120.0,165.0,114.53,,118.87,123.35,133.67,125.39,120.33,137.5,129.43,123.67,112.95
2023-02-05,191.0,119.0,132.5,143.05,,128.19,135.0,122.63,155.0,134.0,146.5,156.0,135.5,140.25,145.0,125.65,124.53,162.57,121.91,131.0,155.75,220.0,145.0,84.0,174.75,130.0,201.67,121.65,150.0,135.67,126.33,137.4,130.83,122.6,124.33,133.71,151.75,116.91
