Date,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Average Price,Bihar,Chandigarh,Chhattisgarh,DNH and DD,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Maximum Price,Meghalaya,Minimum Price,Mizoram,Modal Price,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
,,,,,31.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,,41,,31.63,,25.21,28,33.25,32.33,28,,32,24.67,21,30.33,31.27,40.45,,25.61,36.47,,49,38.3,19,39.8,25,39,36.62,39,22.75,29.57,36.6,42.38,37.4,24.16,26.25,28.5
2023-01-06,,40.4,42,32.9,,25.22,28,31,32.33,28,43,32.17,25.5,21,30,30,40.84,43.57,26.31,36.39,,49,38.1,19,40.67,25,39,35.76,40,24.4,29.16,35.75,42.71,37.2,24.97,26,27.88
2023-01-07,39,41,42,31.92,,25.69,28,31.13,40,28,,34.14,25.67,21,29.5,30.06,41.77,43.43,26.63,36.84,,52,38.8,21,40,25,42.5,38.19,39,24.29,29,36.8,41.91,38.13,25.21,26,29.44
2023-01-08,,39.5,42,31.1,,25.94,30,32.78,37.67,28,43,33,26,21,31,30.47,41.59,43.46,27.22,37.26,,53,38.2,21,39.8,26,40.14,37.71,39,24.5,29.6,35.8,42.81,38.7,25.47,25.75,29.6
2023-01-09,,40.8,42,30.8,,26.27,30,35.86,39.67,28,43,32.8,25.75,21,31.33,31.06,41.72,44.08,27.59,38.32,,59,37.44,21,43,25,40.13,37.7,,23.82,29.5,35.8,44.17,38.6,25.66,26.25,29.7
2023-01-10,,41.67,42,31,,26.96,30,36.29,39.67,28,,32.67,26.75,21,33,31.15,42.47,,28.14,38.05,,52,36.33,21,40,27,,38,41,24.67,28.67,36,43.48,40,25.7,23.5,27.33
2023-01-11,,43.25,,30.82,,27.19,32,36.13,40.33,30,44.5,34.5,26.75,21,33.25,31.61,43.13,44.43,28.15,39.58,,58,38.22,21,41.67,28,41.88,38.13,41,24.85,29.54,35.8,44.62,39.9,26.2,25.75,29.7
2023-01-12,,43.6,42,31.43,,28.03,32,36.67,41,30,44.5,35.33,28,21,36.4,31.28,44,45.46,28.74,40.26,,58,39.43,21,42.44,28,42.25,37.33,,25.47,29.36,35.8,44.91,40.9,26.5,27.75,29.22
2023-02-05,,40.6,42,31.75,,25.14,28,31.75,32.67,28,43,32.33,25,21,32,30.44,40.5,44.36,25.62,36.42,,51,38.11,19,40.67,25,38.33,36.88,39,23.86,29.5,36.6,42.18,37.4,24.12,26.25,28.7
